id,produto,categoria,pergunta,resposta,intencao,tags,canal_recomendado,prioridade,status,observacoes
SAUDE-FAQ-001,Seguro de Saúde,Adesão e Elegibilidade,Quem pode aderir ao seguro de saúde?,"Podem aderir pessoas singulares, famílias ou colaboradores de empresas, conforme as condições da apólice e critérios de aceitação da seguradora.",adesao_e_elegibilidade,adesão,Balcão / Mediador / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-002,Seguro de Saúde,Adesão e Elegibilidade,É possível incluir dependentes na apólice?,"Sim. Normalmente podem ser incluídos cônjuge, filhos e outros dependentes elegíveis, mediante apresentação dos documentos solicitados.",adesao_e_elegibilidade,adesão;dependentes;apólice,Balcão / Mediador / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-003,Seguro de Saúde,Adesão e Elegibilidade,Existe idade mínima ou máxima para contratar?,"Pode existir limite de idade para entrada ou renovação, dependendo do plano contratado e das regras de subscrição.",adesao_e_elegibilidade,adesão,Balcão / Mediador / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-004,Seguro de Saúde,Adesão e Elegibilidade,Posso contratar seguro de saúde para a minha família?,"Sim. Existem planos familiares que permitem incluir vários membros na mesma apólice, com prémio ajustado ao perfil do agregado.",adesao_e_elegibilidade,adesão,Balcão / Mediador / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-005,Seguro de Saúde,Adesão e Elegibilidade,Que documentos são necessários para aderir?,"Geralmente são necessários documento de identificação, dados de contacto, formulário de adesão e, quando aplicável, questionário de saúde.",adesao_e_elegibilidade,adesão,Balcão / Mediador / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-006,Seguro de Saúde,Adesão e Elegibilidade,A seguradora pode recusar a adesão?,Sim. A recusa pode ocorrer quando o risco não se enquadra nos critérios de aceitação ou quando há omissão de informação relevante.,adesao_e_elegibilidade,adesão,Balcão / Mediador / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-007,Seguro de Saúde,Adesão e Elegibilidade,O seguro começa a valer logo após a contratação?,"A cobertura inicia na data indicada nas condições particulares, mas algumas garantias podem estar sujeitas a períodos de carência.",adesao_e_elegibilidade,adesão,Balcão / Mediador / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-008,Seguro de Saúde,Adesão e Elegibilidade,Posso mudar de plano depois de aderir?,"Sim, em muitos casos é possível solicitar alteração de plano, sujeita à análise da seguradora e às regras de renovação.",adesao_e_elegibilidade,adesão,Balcão / Mediador / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-009,Seguro de Saúde,Adesão e Elegibilidade,É obrigatório fazer exames médicos antes da adesão?,"Nem sempre. A seguradora pode solicitar exames ou informação clínica adicional dependendo da idade, capital seguro ou histórico de saúde.",adesao_e_elegibilidade,adesão;exames,Balcão / Mediador / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-010,Seguro de Saúde,Adesão e Elegibilidade,O seguro individual é diferente do seguro empresarial?,"Sim. O seguro empresarial é contratado por uma entidade para os seus colaboradores e pode ter condições, prémios e coberturas específicas.",adesao_e_elegibilidade,adesão,Balcão / Mediador / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
