id;categoria;pergunta;resposta;tags;canal_recomendado;prioridade;status;requer_revisão_humana;motivo_revisao
1;Contratação e Adesão;Como posso contratar um seguro automóvel?;Pode contratar o seguro apresentando os dados do veículo, os documentos do proprietário, a carta de condução e escolhendo o tipo de cobertura pretendida. Após a simulação e pagamento do prémio, a apólice pode ser emitida.;contratação,e,adesão;Atendimento/Portal;Média;Activo;Não;
2;Contratação e Adesão;Que documentos são necessários para contratar o seguro?;Normalmente são necessários o livrete ou documento do veículo, identificação do proprietário, carta de condução, NUIT quando aplicável e dados de contacto actualizados.;contratação,e,adesão;Atendimento/Portal;Média;Activo;Não;
3;Contratação e Adesão;Posso contratar seguro para um carro que ainda está em nome de outra pessoa?;Sim, pode ser possível, mas a seguradora poderá solicitar documentos que comprovem a posse, contrato de compra e venda ou autorização do proprietário registado.;contratação,e,adesão;Atendimento/Portal;Média;Activo;Não;
4;Contratação e Adesão;O seguro começa a valer imediatamente após o pagamento?;Em regra, a cobertura inicia na data e hora indicadas na apólice ou certificado. O pagamento por si só não substitui a confirmação formal da seguradora.;contratação,e,adesão,pagamento;Atendimento/Portal;Média;Activo;Não;
5;Contratação e Adesão;Posso fazer a simulação do seguro antes de decidir?;Sim. A simulação permite estimar o prémio com base no tipo de veículo, uso, valor segurado, coberturas e perfil de risco.;contratação,e,adesão;Atendimento/Portal;Média;Activo;Não;
6;Contratação e Adesão;O que é uma proposta de seguro automóvel?;É o formulário com os dados do segurado, veículo e coberturas pretendidas. A proposta serve de base para análise e emissão da apólice.;contratação,e,adesão;Atendimento/Portal;Média;Activo;Não;
7;Contratação e Adesão;A seguradora pode recusar a contratação?;Sim. A seguradora pode recusar a contratação quando o risco não se enquadra nas suas regras, quando faltam documentos ou quando existem informações inconsistentes.;contratação,e,adesão;Atendimento/Portal;Média;Activo;Não;
8;Contratação e Adesão;Posso contratar seguro automóvel online?;Sim, desde que a seguradora disponibilize esse canal. Poderá ser necessário enviar documentos digitalizados e confirmar o pagamento.;contratação,e,adesão;Atendimento/Portal;Média;Activo;Não;
9;Contratação e Adesão;Posso segurar mais de um veículo na mesma seguradora?;Sim. Pode segurar vários veículos e, dependendo da política comercial, poderá beneficiar de condições específicas.;contratação,e,adesão;Atendimento/Portal;Média;Activo;Não;
10;Contratação e Adesão;O seguro pode estar em nome de uma empresa?;Sim. Para veículos empresariais, a apólice pode ser emitida em nome da empresa, sendo necessários documentos da entidade e identificação do responsável.;contratação,e,adesão;Atendimento/Portal;Média;Activo;Não;
11;Coberturas;O que cobre o seguro obrigatório de responsabilidade civil?;Cobre danos causados a terceiros em consequência de acidente de viação, dentro dos limites e condições da apólice.;coberturas;Atendimento/Portal;Alta;Activo;Não;
12;Coberturas;O seguro obrigatório cobre danos no meu próprio carro?;Não. O seguro obrigatório cobre danos a terceiros. Para danos no próprio veículo, é necessário contratar cobertura de danos próprios ou equivalente.;coberturas;Atendimento/Portal;Alta;Activo;Não;
13;Coberturas;O que são danos próprios?;São coberturas que protegem o veículo segurado contra riscos como colisão, capotamento, choque, incêndio, furto, roubo ou outros riscos contratados.;coberturas;Atendimento/Portal;Alta;Activo;Não;
14;Coberturas;A cobertura contra roubo cobre furto parcial?;"Depende das condições da apólice. Algumas apólices cobrem roubo total e furto parcial; outras exigem cobertura adicional específica.";coberturas;Atendimento/Portal;Alta;Activo;Não;
15;Coberturas;A cobertura contra incêndio está incluída no seguro básico?;Normalmente não está incluída no seguro obrigatório básico. Pode ser contratada como cobertura adicional ou dentro de um pacote mais completo.;coberturas;Atendimento/Portal;Alta;Activo;Não;
16;Coberturas;O seguro cobre quebra de vidros?;Sim, se a cobertura de quebra isolada de vidros estiver contratada. Deve verificar limites, franquias e exclusões.;coberturas;Atendimento/Portal;Alta;Activo;Não;
17;Coberturas;O seguro cobre danos causados por chuva ou inundações?;Pode cobrir se a apólice incluir fenómenos da natureza ou riscos similares. Sem essa cobertura, o sinistro pode não ser indemnizável.;coberturas;Atendimento/Portal;Alta;Activo;Não;
18;Coberturas;O seguro cobre actos de vandalismo?;A cobertura de actos maliciosos ou vandalismo deve estar expressamente contratada. Consulte as condições particulares.;coberturas;Atendimento/Portal;Alta;Activo;Não;
19;Coberturas;O seguro cobre passageiros?;Pode cobrir passageiros se houver cobertura de ocupantes ou acidentes pessoais. A responsabilidade civil pode abranger terceiros transportados conforme a lei e a apólice.;coberturas;Atendimento/Portal;Alta;Activo;Não;
20;Coberturas;O que é assistência em viagem?;É uma cobertura que presta apoio em caso de avaria, acidente, falta de combustível, reboque, desempanagem ou transporte, conforme os limites contratados.;coberturas;Atendimento/Portal;Alta;Activo;Não;
21;Coberturas;O seguro cobre avarias mecânicas?;Normalmente o seguro automóvel não cobre avarias mecânicas comuns, excepto se existir cobertura específica de garantia mecânica ou assistência limitada.;coberturas;Atendimento/Portal;Alta;Activo;Não;
22;Coberturas;O seguro cobre pneus danificados?;Pode cobrir se o dano resultar de um sinistro coberto. Desgaste normal, mau uso ou manutenção deficiente geralmente estão excluídos.;coberturas;Atendimento/Portal;Alta;Activo;Não;
23;Coberturas;O seguro cobre danos no pára-brisas?;Sim, caso tenha cobertura de vidros. Sem essa cobertura, poderá ser tratado como dano próprio se a apólice aplicável permitir.;coberturas;Atendimento/Portal;Alta;Activo;Não;
24;Coberturas;O seguro cobre danos causados por buracos na estrada?;Depende da cobertura contratada e da prova do evento. Pode ser necessário accionar danos próprios ou reclamar contra a entidade responsável pela via.;coberturas;Atendimento/Portal;Alta;Activo;Não;
25;Coberturas;Posso escolher coberturas adicionais?;Sim. Normalmente pode adicionar assistência em viagem, ocupantes, vidros, roubo, incêndio, fenómenos da natureza, viatura de substituição e outras opções.;coberturas;Atendimento/Portal;Alta;Activo;Não;
26;Coberturas;A cobertura é válida fora do país?;Depende da extensão territorial da apólice. Deve confirmar se a cobertura é válida no país de destino e solicitar carta verde ou documento equivalente quando necessário.;coberturas;Atendimento/Portal;Alta;Activo;Não;
27;Coberturas;O seguro cobre danos causados por animais?;Pode cobrir se o evento estiver enquadrado em colisão, choque ou cobertura específica. A análise depende das condições da apólice e da participação do sinistro.;coberturas;Atendimento/Portal;Alta;Activo;Não;
28;Coberturas;O seguro cobre perda de chaves?;Algumas apólices oferecem cobertura para perda, roubo ou substituição de chaves. Deve confirmar se essa garantia foi contratada.;coberturas;Atendimento/Portal;Alta;Activo;Não;
29;Coberturas;O seguro cobre acessórios do veículo?;"Acessórios de série podem estar incluídos; acessórios extras devem ser declarados e podem exigir cobertura adicional.";coberturas;Atendimento/Portal;Alta;Activo;Não;
30;Coberturas;O que é cobertura de ocupantes?;É uma garantia que indemniza condutor e/ou passageiros por morte, invalidez ou despesas médicas em consequência de acidente coberto.;coberturas;Atendimento/Portal;Alta;Activo;Não;
31;Prémio e Pagamentos;O que é o prémio do seguro?;É o valor que o segurado paga à seguradora para manter a cobertura activa durante o período contratado.;prémio,e,pagamentos,pagamento;Atendimento/Portal;Média;Activo;Não;
32;Prémio e Pagamentos;Como é calculado o prémio do seguro automóvel?;O prémio considera factores como tipo de veículo, uso, cilindrada, valor segurado, coberturas, histórico de sinistros, idade do condutor e zona de circulação.;prémio,e,pagamentos,pagamento;Atendimento/Portal;Média;Activo;Não;
33;Prémio e Pagamentos;Posso pagar o seguro em prestações?;Depende da política da seguradora. Algumas permitem pagamento anual, semestral, trimestral ou mensal, podendo existir encargos adicionais.;prémio,e,pagamentos,pagamento;Atendimento/Portal;Média;Activo;Não;
34;Prémio e Pagamentos;O que acontece se eu atrasar o pagamento?;O atraso pode causar suspensão ou cancelamento da cobertura, conforme as condições da apólice e os avisos emitidos pela seguradora.;prémio,e,pagamentos,pagamento;Atendimento/Portal;Média;Activo;Não;
35;Prémio e Pagamentos;Posso pagar por transferência bancária?;Sim, se a seguradora disponibilizar essa opção. Deve usar a referência correcta e guardar o comprovativo.;prémio,e,pagamentos,pagamento;Atendimento/Portal;Média;Activo;Não;
36;Prémio e Pagamentos;Como confirmo se o meu pagamento foi recebido?;Pode confirmar pelo portal, linha de atendimento, agente ou balcão, apresentando o comprovativo se necessário.;prémio,e,pagamentos,pagamento;Atendimento/Portal;Média;Activo;Não;
37;Prémio e Pagamentos;O prémio aumenta após um acidente?;Pode aumentar na renovação, especialmente se houver sinistros imputáveis ao segurado. Isso depende da política de bónus/malus da seguradora.;prémio,e,pagamentos,sinistro,acidente,pagamento;Atendimento/Portal;Média;Activo;Não;
38;Prémio e Pagamentos;Tenho desconto se não tiver sinistros?;Muitas seguradoras aplicam bónus por ausência de sinistros. O desconto depende do histórico e das regras comerciais.;prémio,e,pagamentos,sinistro,acidente;Atendimento/Portal;Média;Activo;Não;
39;Prémio e Pagamentos;Posso alterar a forma de pagamento?;Sim, geralmente pode solicitar alteração antes da próxima cobrança ou renovação, sujeita às regras da seguradora.;prémio,e,pagamentos,pagamento;Atendimento/Portal;Média;Activo;Não;
40;Prémio e Pagamentos;O prémio é reembolsado se eu cancelar o seguro?;Pode haver reembolso proporcional do período não usado, deduzidas taxas ou valores previstos nas condições da apólice.;prémio,e,pagamentos,pagamento;Atendimento/Portal;Média;Activo;Não;
41;Apólice e Certificados;O que é a apólice de seguro?;É o contrato que define as partes, coberturas, limites, exclusões, prémio, vigência e demais condições do seguro.;apólice,e,certificados;Atendimento/Portal;Média;Activo;Não;
42;Apólice e Certificados;O que são condições particulares?;São as informações específicas da sua apólice, como veículo segurado, coberturas contratadas, limites, franquias, prémio e vigência.;apólice,e,certificados;Atendimento/Portal;Média;Activo;Não;
43;Apólice e Certificados;O que são condições gerais?;São as regras gerais aplicáveis ao produto de seguro, incluindo direitos, deveres, exclusões, procedimentos e definições.;apólice,e,certificados;Atendimento/Portal;Média;Activo;Não;
44;Apólice e Certificados;Como obtenho a segunda via da apólice?;Pode solicitar a segunda via no balcão, agente, portal ou linha de atendimento da seguradora.;apólice,e,certificados;Atendimento/Portal;Média;Activo;Não;
45;Apólice e Certificados;O certificado de seguro substitui a apólice?;O certificado comprova a existência do seguro, mas a apólice contém as condições completas do contrato.;apólice,e,certificados;Atendimento/Portal;Média;Activo;Não;
46;Apólice e Certificados;Devo circular com o certificado de seguro?;Sim. Deve manter consigo o documento comprovativo do seguro válido, conforme exigência legal aplicável.;apólice,e,certificados;Atendimento/Portal;Média;Activo;Não;
47;Apólice e Certificados;Posso receber a apólice por e-mail?;Sim, se a seguradora disponibilizar documentos digitais. Deve confirmar se o documento contém assinatura, número de apólice e validade.;apólice,e,certificados;Atendimento/Portal;Média;Activo;Não;
48;Apólice e Certificados;Como verifico se a minha apólice está activa?;Pode verificar pela validade do certificado, portal da seguradora, contacto com o agente ou linha de atendimento.;apólice,e,certificados;Atendimento/Portal;Média;Activo;Não;
49;Apólice e Certificados;O número da apólice é importante?;Sim. O número da apólice identifica o contrato e deve ser informado em pedidos, pagamentos, renovações e sinistros.;apólice,e,certificados;Atendimento/Portal;Média;Activo;Não;
50;Apólice e Certificados;O que faço se os dados da apólice estiverem errados?;Deve solicitar correcção imediatamente e apresentar documentos que comprovem os dados correctos.;apólice,e,certificados;Atendimento/Portal;Média;Activo;Não;
51;Sinistros;O que devo fazer imediatamente após um acidente?;Garanta a segurança, sinalize o local, procure assistência médica se necessário, contacte as autoridades quando aplicável e comunique o sinistro à seguradora.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Não;
52;Sinistros;Qual é o prazo para comunicar um sinistro?;O prazo depende da apólice e da legislação aplicável. Recomenda-se comunicar o mais rapidamente possível, idealmente logo após o acidente.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Não;
53;Sinistros;Que documentos devo apresentar no sinistro?;Normalmente são necessários participação do acidente, carta de condução, livrete, apólice, fotos, dados dos envolvidos, auto policial se houver e orçamento de reparação.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Não;
54;Sinistros;Preciso de chamar a polícia em todos os acidentes?;Deve chamar a polícia quando houver feridos, danos relevantes, desacordo entre as partes, fuga, suspeita de álcool, falta de documentos ou exigência legal.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Não;
55;Sinistros;Posso reparar o carro antes da vistoria?;Não é recomendado. A seguradora pode precisar avaliar os danos antes da reparação, excepto em situações urgentes devidamente documentadas.;sinistros;Atendimento/Sinistros;Alta;Activo;Não;
